""
"1","astar"
"1","Base","C0","C1","C2","C3","C4","C5","GDC","Ideal"
"porcentajePrebuscado","0","85.4515","86.0223","86.1231","85.114","85.4571","87.2901","91.3338","97.6988"
"porcentajeDesperdicio","0","5.9066","5.9179","6.1467","5.5475","5.8955","6.1818","33.3294","58.1627"
"porcentajeExito","5.8111","85.3646","85.938","86.0069","85.0893","85.3734","87.1765","87.5083","94.7447"
"porcentajeAciertosPorPrebusqueda","0","99.3768","99.393","99.4244","99.3162","99.3798","99.4626","99.8341","99.8428"
"porcentajePrebusquedasUtiles","NaN","93.0878","93.1205","92.8629","93.4823","93.1012","92.9181","63.5081","40.4673"
"1",""
"1","mcf"
"1","Base","C0","C1","C2","C3","C4","C5","GDC","Ideal"
"numAccesosExaminados","5e+06","5e+06","5e+06","5e+06","5e+06","5e+06","5e+06","5e+06","5e+06"
"porcentajeReconocido.0","97.3727","93.8831","93.8831","95.5899","93.9432","93.8831","98.6124","0","97.3727"
"numEntradasTotales","4966863","4999039","5000348","5022790","4982292","4998842","5092063","9070485","5061090"
"numEntradasActuales","262144","262144","262144","262144","262144","262144","262144","262144","262144"
"numReemplazos","4704719","4736895","4738204","4760646","4720148","4736698","4829919","8808341","4798946"
"porcentajePrebuscado","0","89.2629","89.3971","92.1994","85.4622","89.2656","97.0503","82.9672","93.6886"
"porcentajeDesperdicio","0","0.6323","0.6626","1.1002","0.298","0.6333","2.4855","44.9971","1.9082"
"porcentajeExito","0.6627","89.2649","89.3963","92.1638","85.5137","89.2681","96.9959","69.1009","93.6114"
"porcentajeAciertosPorPrebusqueda","0","99.7596","99.7537","99.7938","99.7178","99.7523","99.8723","99.9487","99.8202"
"porcentajePrebusquedasUtiles","NaN","99.2917","99.2588","98.8067","99.6513","99.2906","97.4389","45.7652","97.9632"
"1",""
"1","milc"
"1","Base","C0","C1","C2","C3","C4","C5","GDC","Ideal"
"numAccesosExaminados","150745","150745","150745","150745","150745","150745","150745","150745","150745"
"porcentajeReconocido.0","76.3369","77.107","77.107","77.513","77.0487","77.107","78.6872","0","76.3369"
"numEntradasTotales","150724","151044","151140","151851","150796","151044","154678","158230","152626"
"numEntradasActuales","150561","150877","150973","151684","150631","150877","153367","157197","152459"
"numReemplazos","163","167","167","167","165","167","1311","1033","167"
"porcentajePrebuscado","0","92.8478","93.0144","95.6214","88.1622","92.8478","97.6092","96.9102","93.1237"
"porcentajeDesperdicio","0","0.2119","0.2752","0.7422","0.0477","0.2119","2.5563","4.7437","1.2462"
"porcentajeExito","0.0139","92.8336","92.9961","95.5892","88.1581","92.8336","97.5469","96.7568","93.0379"
"porcentajeAciertosPorPrebusqueda","0","99.985","99.985","99.9854","99.9842","99.985","99.9857","99.9911","99.985"
"porcentajePrebusquedasUtiles","NaN","99.7718","99.7041","99.2238","99.9458","99.7718","97.3811","95.105","98.6618"
"1",""
"1","namd"
"1","Base","C0","C1","C2","C3","C4","C5","GDC","Ideal"
"numAccesosExaminados","1112199","1112199","1112199","1112199","1112199","1112199","1112199","1112199","1112199"
"porcentajeReconocido.0","85.4798","77.914","77.914","80.7756","77.8869","77.914","89.2704","0","85.4798"
"numEntradasTotales","1075524","1080890","1089209","1081029","1078635","1080927","1096137","1307045","1087819"
"numEntradasActuales","262144","262144","262144","262144","262144","262144","262144","262144","262144"
"numReemplazos","813380","818746","827065","818885","816491","818783","833993","1044901","825675"
"porcentajePrebuscado","0","70.305","70.7008","75.9936","60.9799","70.2973","85.4038","96.848","79.9049"
"porcentajeDesperdicio","0","0.4658","1.1619","0.4882","0.2714","0.4671","1.7171","17.2151","1.0313"
"porcentajeExito","3.2975","71.141","71.3064","76.6664","62.1575","71.1325","85.6146","96.2958","80.3454"
"porcentajeAciertosPorPrebusqueda","0","99.5496","99.5429","99.8206","98.7535","99.5469","99.9319","99.9753","99.5798"
"porcentajePrebusquedasUtiles","NaN","99.3374","98.3565","99.3575","99.555","99.3355","97.9894","82.2246","98.7093"
"1",""
"1","omnetpp"
"1","Base","C0","C1","C2","C3","C4","C5","GDC","Ideal"
"numAccesosExaminados","4e+06","4e+06","4e+06","4e+06","4e+06","4e+06","4e+06","4e+06","4e+06"
"porcentajeReconocido.0","0","71.3977","71.3977","76.0925","72.326","71.3977","85.2086","0","79.117"
"numEntradasTotales","3971133","5191730","5264235","5493138","5121165","5192008","7278731","6768912","10853621"
"numEntradasActuales","262144","262144","262144","262144","262144","262144","262144","262144","262144"
"numReemplazos","3708989","4929586","5002091","5230994","4859021","4929864","7016587","6506768","10591477"
"porcentajePrebuscado","0","63.3848","64.6786","70.9246","56.1542","63.3809","86.0019","90.9774","89.8198"
"porcentajeDesperdicio","0","23.3672","24.4065","27.5339","22.2997","23.3658","45.2463","41.1039","63.2531"
"porcentajeExito","0.7217","52.476","53.5149","60.0712","43.8646","52.4683","74.5279","84.7316","72.3769"
"porcentajeAciertosPorPrebusqueda","0","99.2367","99.3059","99.4071","99.0122","99.2486","99.6885","99.8617","99.8009"
